"source","target","weight"
1,10,13
1,21,4
1,49,2
1,92,2
1,105,1
1,153,4
2,16,7
2,40,20
2,44,3
2,69,13
2,71,11
2,76,7
2,83,15
2,89,2
2,108,6
2,158,2
2,160,2
3,11,4
3,18,4
3,44,1
3,51,1
3,89,4
3,140,4
3,145,90
3,155,47
3,157,4
3,158,4
3,167,4
4,57,4
4,119,4
5,2,6
5,6,6
5,7,5
5,11,6
5,22,5
5,27,3
5,42,23
5,46,1
5,52,24
5,54,7
5,71,4
5,79,17
5,81,8
5,83,13
5,85,6
5,86,7
5,90,5
5,97,1
5,102,14
5,106,6
5,108,29
5,115,29
5,128,5
5,154,1
5,158,11
5,160,5
5,170,7
5,180,6
5,182,1
6,5,2
6,52,23
6,68,5
6,73,2
6,74,2
6,79,3
6,83,11
6,84,1
6,95,2
6,108,12
6,129,13
6,148,19
7,2,1
7,17,1
7,23,16
7,27,3
7,28,4
7,47,6
7,51,71
7,60,3
7,64,44
7,79,1
7,83,11
7,85,4
7,90,6
7,94,3
7,100,16
7,103,1
7,108,18
7,114,1
7,116,70
7,127,21
7,137,3
7,141,2
7,150,3
7,158,1
7,160,1
7,169,2
7,172,1
7,175,5
7,177,1
8,22,2
8,28,32
8,33,1
8,54,9
8,77,2
8,95,2
8,97,4
8,150,2
8,162,5
8,179,3
9,28,2
9,34,4
9,96,1
9,99,75
9,104,38
9,109,11
9,114,34
9,125,23
9,152,2
9,171,58
10,1,38
10,14,12
10,21,211
10,31,4
10,49,215
10,56,11
10,92,265
10,93,20
10,105,4
10,120,2
10,122,2
10,130,2
10,132,5
10,153,214
11,46,7
11,82,4
11,85,1
11,102,2
11,157,4
11,158,4
11,180,4
12,23,19
12,28,17
12,30,6
12,39,41
12,47,3
12,51,19
12,52,14
12,57,3
12,66,42
12,71,3
12,79,3
12,93,19
12,97,22
12,113,45
12,115,28
12,124,19
12,130,3
12,141,3
12,146,37
12,154,3
12,156,19
12,158,3
12,161,19
12,163,6
12,164,14
12,166,6
12,170,8
12,174,3
13,34,1
13,35,2
13,38,24
13,39,2
13,58,12
13,59,1
13,64,6
13,74,3
13,83,5
13,108,5
13,124,4
13,147,4
13,148,5
13,164,2
13,173,2
14,10,17
14,31,48
14,56,37
14,80,12
14,92,70
14,105,60
14,120,6
14,130,3
14,132,4
14,143,8
15,42,3
15,91,5
15,131,44
15,160,12
15,173,2
16,2,1
16,37,2
16,40,6
16,69,1
16,71,1
16,76,1
16,121,1
17,7,13
17,20,8
17,33,3
17,48,1
17,50,7
17,65,1
17,83,23
17,84,15
17,85,29
17,86,1
17,94,32
17,97,5
17,117,2
17,119,3
17,126,7
17,127,12
17,133,2
17,139,11
17,150,12
18,3,35
18,4,4
18,11,9
18,25,2
