th,n_nodes,n_edges
1e-20,287,387
1.7782794100389228e-20,287,387
3.162277660168379e-20,287,387
5.62341325190349e-20,287,387
1e-19,287,387
1.7782794100389227e-19,287,387
3.162277660168379e-19,287,387
5.623413251903491e-19,287,387
1e-18,287,387
1.778279410038923e-18,287,387
3.1622776601683795e-18,287,387
5.623413251903491e-18,287,387
1e-17,287,387
1.7782794100389228e-17,287,387
3.1622776601683796e-17,287,387
5.62341325190349e-17,287,387
1e-16,287,387
1.7782794100389228e-16,287,387
3.1622776601683793e-16,287,387
5.623413251903491e-16,287,387
1e-15,287,387
1.7782794100389227e-15,287,387
3.1622776601683794e-15,287,387
5.623413251903491e-15,287,387
1e-14,287,387
1.7782794100389227e-14,287,387
3.1622776601683796e-14,287,387
5.6234132519034906e-14,287,387
1e-13,287,387
1.7782794100389227e-13,287,387
3.162277660168379e-13,287,387
5.62341325190349e-13,287,387
1e-12,287,387
1.7782794100389228e-12,287,387
3.1622776601683794e-12,287,387
5.6234132519034904e-12,287,387
1e-11,287,387
1.7782794100389227e-11,287,387
3.1622776601683794e-11,287,387
5.6234132519034906e-11,287,387
1e-10,287,387
1.778279410038923e-10,287,387
3.1622776601683795e-10,287,387
5.623413251903491e-10,287,387
1e-09,287,387
1.7782794100389228e-09,287,387
3.1622776601683795e-09,287,387
5.623413251903491e-09,287,387
1e-08,287,387
1.7782794100389228e-08,287,387
3.162277660168379e-08,287,387
5.6234132519034905e-08,287,387
1e-07,287,387
1.7782794100389227e-07,287,387
3.162277660168379e-07,287,387
5.62341325190349e-07,287,387
1e-06,287,387
1.778279410038923e-06,287,387
3.162277660168379e-06,287,387
5.623413251903491e-06,287,387
1e-05,287,387
1.778279410038923e-05,287,387
3.1622776601683795e-05,287,387
5.623413251903491e-05,287,387
0.0001,287,387
0.00017782794100389227,287,387
0.00031622776601683794,298,454
0.0005623413251903491,306,498
0.001,321,556
0.0017782794100389228,324,605
0.0031622776601683794,334,680
0.005623413251903491,342,750
0.01,350,852
0.01778279410038923,354,945
0.03162277660168379,362,1063
0.05623413251903491,377,1259
0.1,386,1501
0.1778279410038923,393,1867
0.31622776601683794,400,2420
0.5623413251903491,411,3592
1.0,421,6840
