th,n_nodes,n_edges
1e-20,23,18
1.7782794100389228e-20,23,18
3.162277660168379e-20,23,18
5.62341325190349e-20,23,18
1e-19,23,18
1.7782794100389227e-19,23,18
3.162277660168379e-19,25,20
5.623413251903491e-19,30,24
1e-18,30,24
1.778279410038923e-18,30,24
3.1622776601683795e-18,30,24
5.623413251903491e-18,30,24
1e-17,30,24
1.7782794100389228e-17,33,26
3.1622776601683796e-17,34,27
5.62341325190349e-17,34,27
1e-16,34,27
1.7782794100389228e-16,37,29
3.1622776601683793e-16,38,30
5.623413251903491e-16,38,30
1e-15,38,30
1.7782794100389227e-15,39,31
3.1622776601683794e-15,43,33
5.623413251903491e-15,44,34
1e-14,44,34
1.7782794100389227e-14,48,38
3.1622776601683796e-14,49,39
5.6234132519034906e-14,53,43
1e-13,55,44
1.7782794100389227e-13,57,46
3.162277660168379e-13,62,51
5.62341325190349e-13,64,53
1e-12,65,54
1.7782794100389228e-12,66,55
3.1622776601683794e-12,67,56
5.6234132519034904e-12,69,58
1e-11,72,61
1.7782794100389227e-11,72,61
3.1622776601683794e-11,75,63
5.6234132519034906e-11,83,69
1e-10,87,74
1.778279410038923e-10,92,79
3.1622776601683795e-10,97,84
5.623413251903491e-10,102,89
1e-09,106,93
1.7782794100389228e-09,109,96
3.1622776601683795e-09,115,102
5.623413251903491e-09,123,110
1e-08,129,116
1.7782794100389228e-08,136,123
3.162277660168379e-08,143,130
5.6234132519034905e-08,147,135
1e-07,158,146
1.7782794100389227e-07,166,156
3.162277660168379e-07,177,171
5.62341325190349e-07,184,183
1e-06,200,202
1.778279410038923e-06,210,222
3.162277660168379e-06,223,243
5.623413251903491e-06,236,261
1e-05,245,278
1.778279410038923e-05,261,306
3.1622776601683795e-05,281,356
5.623413251903491e-05,286,392
0.0001,293,425
0.00017782794100389227,303,474
0.00031622776601683794,310,532
0.0005623413251903491,315,589
0.001,321,675
0.0017782794100389228,323,772
0.0031622776601683794,330,887
0.005623413251903491,344,1037
0.01,352,1185
0.01778279410038923,361,1388
0.03162277660168379,378,1655
0.05623413251903491,385,1978
0.1,393,2384
0.1778279410038923,398,2904
0.31622776601683794,412,3697
0.5623413251903491,423,4979
1.0,456,17287
