th,n_nodes,n_edges
1e-20,38,22
1.7782794100389228e-20,38,22
3.162277660168379e-20,38,22
5.62341325190349e-20,38,22
1e-19,38,22
1.7782794100389227e-19,38,22
3.162277660168379e-19,38,22
5.623413251903491e-19,38,22
1e-18,38,22
1.778279410038923e-18,38,22
3.1622776601683795e-18,38,22
5.623413251903491e-18,38,22
1e-17,38,22
1.7782794100389228e-17,38,22
3.1622776601683796e-17,38,22
5.62341325190349e-17,38,22
1e-16,38,22
1.7782794100389228e-16,38,22
3.1622776601683793e-16,38,22
5.623413251903491e-16,38,22
1e-15,38,22
1.7782794100389227e-15,38,22
3.1622776601683794e-15,38,22
5.623413251903491e-15,38,22
1e-14,38,22
1.7782794100389227e-14,38,22
3.1622776601683796e-14,38,22
5.6234132519034906e-14,38,22
1e-13,38,22
1.7782794100389227e-13,38,22
3.162277660168379e-13,38,22
5.62341325190349e-13,38,22
1e-12,38,22
1.7782794100389228e-12,38,22
3.1622776601683794e-12,38,22
5.6234132519034904e-12,38,22
1e-11,38,22
1.7782794100389227e-11,38,22
3.1622776601683794e-11,38,22
5.6234132519034906e-11,38,22
1e-10,38,22
1.778279410038923e-10,38,22
3.1622776601683795e-10,38,22
5.623413251903491e-10,38,22
1e-09,38,22
1.7782794100389228e-09,38,22
3.1622776601683795e-09,38,22
5.623413251903491e-09,38,22
1e-08,38,22
1.7782794100389228e-08,38,22
3.162277660168379e-08,38,22
5.6234132519034905e-08,38,22
1e-07,38,22
1.7782794100389227e-07,38,22
3.162277660168379e-07,38,22
5.62341325190349e-07,38,22
1e-06,38,22
1.778279410038923e-06,38,22
3.162277660168379e-06,38,22
5.623413251903491e-06,38,22
1e-05,38,22
1.778279410038923e-05,38,22
3.1622776601683795e-05,38,22
5.623413251903491e-05,38,22
0.0001,38,22
0.00017782794100389227,38,22
0.00031622776601683794,41,24
0.0005623413251903491,41,24
0.001,43,26
0.0017782794100389228,45,27
0.0031622776601683794,51,34
0.005623413251903491,53,36
0.01,56,42
0.01778279410038923,60,49
0.03162277660168379,69,61
0.05623413251903491,84,77
0.1,97,105
0.1778279410038923,122,158
0.31622776601683794,137,247
0.5623413251903491,158,447
1.0,170,852
