th,n_nodes,n_edges
1e-20,0,0
1.7782794100389228e-20,0,0
3.162277660168379e-20,0,0
5.62341325190349e-20,0,0
1e-19,0,0
1.7782794100389227e-19,0,0
3.162277660168379e-19,0,0
5.623413251903491e-19,0,0
1e-18,0,0
1.778279410038923e-18,0,0
3.1622776601683795e-18,0,0
5.623413251903491e-18,0,0
1e-17,0,0
1.7782794100389228e-17,0,0
3.1622776601683796e-17,0,0
5.62341325190349e-17,0,0
1e-16,0,0
1.7782794100389228e-16,0,0
3.1622776601683793e-16,0,0
5.623413251903491e-16,0,0
1e-15,0,0
1.7782794100389227e-15,0,0
3.1622776601683794e-15,0,0
5.623413251903491e-15,0,0
1e-14,0,0
1.7782794100389227e-14,0,0
3.1622776601683796e-14,0,0
5.6234132519034906e-14,0,0
1e-13,0,0
1.7782794100389227e-13,0,0
3.162277660168379e-13,0,0
5.62341325190349e-13,0,0
1e-12,0,0
1.7782794100389228e-12,0,0
3.1622776601683794e-12,0,0
5.6234132519034904e-12,0,0
1e-11,0,0
1.7782794100389227e-11,0,0
3.1622776601683794e-11,0,0
5.6234132519034906e-11,0,0
1e-10,0,0
1.778279410038923e-10,0,0
3.1622776601683795e-10,0,0
5.623413251903491e-10,0,0
1e-09,0,0
1.7782794100389228e-09,0,0
3.1622776601683795e-09,0,0
5.623413251903491e-09,0,0
1e-08,0,0
1.7782794100389228e-08,0,0
3.162277660168379e-08,0,0
5.6234132519034905e-08,0,0
1e-07,0,0
1.7782794100389227e-07,2,1
3.162277660168379e-07,2,1
5.62341325190349e-07,3,2
1e-06,7,4
1.778279410038923e-06,9,5
3.162277660168379e-06,11,6
5.623413251903491e-06,17,9
1e-05,17,9
1.778279410038923e-05,19,11
3.1622776601683795e-05,19,11
5.623413251903491e-05,24,15
0.0001,27,17
0.00017782794100389227,27,18
0.00031622776601683794,29,19
0.0005623413251903491,33,23
0.001,41,33
0.0017782794100389228,50,43
0.0031622776601683794,55,53
0.005623413251903491,66,65
0.01,82,87
0.01778279410038923,87,108
0.03162277660168379,110,153
0.05623413251903491,137,209
0.1,153,309
0.1778279410038923,165,455
0.31622776601683794,174,742
0.5623413251903491,181,1391
1.0,182,2829
