th,n_nodes,n_edges
1e-20,44890,720679
1.7782794100389228e-20,44890,720679
3.162277660168379e-20,44890,720679
5.62341325190349e-20,44890,720679
1e-19,44890,720679
1.7782794100389227e-19,44890,720679
3.162277660168379e-19,44890,720679
5.623413251903491e-19,44890,720679
1e-18,44890,720679
1.778279410038923e-18,44890,720679
3.1622776601683795e-18,44890,720679
5.623413251903491e-18,44890,720679
1e-17,44890,720679
1.7782794100389228e-17,44890,720679
3.1622776601683796e-17,44890,720679
5.62341325190349e-17,44890,720679
1e-16,44890,720679
1.7782794100389228e-16,44890,720679
3.1622776601683793e-16,44890,720679
5.623413251903491e-16,44890,720679
1e-15,44890,720679
1.7782794100389227e-15,44890,720679
3.1622776601683794e-15,44890,720679
5.623413251903491e-15,44890,720679
1e-14,44890,720679
1.7782794100389227e-14,44890,720679
3.1622776601683796e-14,44890,720679
5.6234132519034906e-14,44890,720679
1e-13,44890,720679
1.7782794100389227e-13,44890,720679
3.162277660168379e-13,44890,720679
5.62341325190349e-13,44890,720679
1e-12,44890,720679
1.7782794100389228e-12,44890,720679
3.1622776601683794e-12,44890,720679
5.6234132519034904e-12,44890,720679
1e-11,44890,720679
1.7782794100389227e-11,44890,720679
3.1622776601683794e-11,44890,720679
5.6234132519034906e-11,44890,720679
1e-10,44890,720679
1.778279410038923e-10,44890,720679
3.1622776601683795e-10,44890,720679
5.623413251903491e-10,44890,720679
1e-09,44890,720679
1.7782794100389228e-09,44890,720679
3.1622776601683795e-09,44890,720679
5.623413251903491e-09,44890,720679
1e-08,44890,720679
1.7782794100389228e-08,44890,720679
3.162277660168379e-08,44890,720679
5.6234132519034905e-08,44890,720679
1e-07,44890,720679
1.7782794100389227e-07,44890,720679
3.162277660168379e-07,44890,720679
5.62341325190349e-07,44890,720679
1e-06,44890,720679
1.778279410038923e-06,44890,720679
3.162277660168379e-06,44890,720679
5.623413251903491e-06,44890,720679
1e-05,44890,720679
1.778279410038923e-05,44890,720679
3.1622776601683795e-05,44890,720679
5.623413251903491e-05,44890,720679
0.0001,44890,720679
0.00017782794100389227,44890,720679
0.00031622776601683794,46103,804397
0.0005623413251903491,46815,855719
0.001,48021,950254
0.0017782794100389228,48715,1011385
0.0031622776601683794,49811,1110609
0.005623413251903491,50951,1231225
0.01,52123,1370125
0.01778279410038923,53441,1537054
0.03162277660168379,54867,1755942
0.05623413251903491,56374,2040150
0.1,58068,2431905
0.1778279410038923,59988,3025869
0.31622776601683794,62283,4106974
0.5623413251903491,65534,6645647
1.0,69504,13530037
