th,n_nodes,n_edges
1e-20,26830,135145
1.7782794100389228e-20,27035,137652
3.162277660168379e-20,27238,140209
5.62341325190349e-20,27460,142914
1e-19,27673,145654
1.7782794100389227e-19,27915,148520
3.162277660168379e-19,28153,151478
5.623413251903491e-19,28393,154382
1e-18,28640,157349
1.778279410038923e-18,28891,160517
3.1622776601683795e-18,29130,163859
5.623413251903491e-18,29390,167331
1e-17,29675,170783
1.7782794100389228e-17,29949,174393
3.1622776601683796e-17,30184,178095
5.62341325190349e-17,30471,181970
1e-16,30765,185962
1.7782794100389228e-16,31039,190065
3.1622776601683793e-16,31332,194313
5.623413251903491e-16,31635,198843
1e-15,31929,203446
1.7782794100389227e-15,32239,208234
3.1622776601683794e-15,32545,213147
5.623413251903491e-15,32876,218261
1e-14,33217,223639
1.7782794100389227e-14,33554,229199
3.1622776601683796e-14,33919,234984
5.6234132519034906e-14,34280,241108
1e-13,34647,247410
1.7782794100389227e-13,35006,254057
3.162277660168379e-13,35375,260890
5.62341325190349e-13,35771,268183
1e-12,36143,275620
1.7782794100389228e-12,36535,283521
3.1622776601683794e-12,36935,291979
5.6234132519034904e-12,37384,300675
1e-11,37839,309808
1.7782794100389227e-11,38299,319685
3.1622776601683794e-11,38761,329920
5.6234132519034906e-11,39240,340728
1e-10,39747,352065
1.778279410038923e-10,40203,363695
3.1622776601683795e-10,40673,376461
5.623413251903491e-10,41200,389821
1e-09,41695,403959
1.7782794100389228e-09,42243,419156
3.1622776601683795e-09,42852,435348
5.623413251903491e-09,43442,452384
1e-08,44084,470857
1.7782794100389228e-08,44667,490531
3.162277660168379e-08,45345,511620
5.6234132519034905e-08,46048,534177
1e-07,46801,558784
1.7782794100389227e-07,47577,585285
3.162277660168379e-07,48358,613589
5.62341325190349e-07,49171,644513
1e-06,50090,678271
1.778279410038923e-06,51027,715439
3.162277660168379e-06,51987,756192
5.623413251903491e-06,53034,801050
1e-05,54168,850838
1.778279410038923e-05,55287,906659
3.1622776601683795e-05,56558,968951
5.623413251903491e-05,57792,1039454
0.0001,59186,1119464
0.00017782794100389227,60611,1211048
0.00031622776601683794,62126,1317118
0.0005623413251903491,63750,1441211
0.001,65479,1587328
0.0017782794100389228,67298,1763351
0.0031622776601683794,69152,1976726
0.005623413251903491,71069,2241324
0.01,73192,2576500
0.01778279410038923,75304,3010722
0.03162277660168379,77501,3594523
0.05623413251903491,79587,4410067
0.1,81586,5629637
0.1778279410038923,83618,7608271
0.31622776601683794,85453,11329187
0.5623413251903491,87663,20667586
1.0,90872,76512317
