th,n_nodes,n_edges
1e-20,128,109
1.7782794100389228e-20,130,112
3.162277660168379e-20,135,115
5.62341325190349e-20,135,116
1e-19,136,117
1.7782794100389227e-19,137,119
3.162277660168379e-19,137,119
5.623413251903491e-19,137,119
1e-18,137,120
1.778279410038923e-18,137,122
3.1622776601683795e-18,140,127
5.623413251903491e-18,143,132
1e-17,145,135
1.7782794100389228e-17,147,139
3.1622776601683796e-17,150,147
5.62341325190349e-17,151,150
1e-16,154,154
1.7782794100389228e-16,157,159
3.1622776601683793e-16,158,163
5.623413251903491e-16,159,167
1e-15,160,170
1.7782794100389227e-15,165,176
3.1622776601683794e-15,166,183
5.623413251903491e-15,169,185
1e-14,173,189
1.7782794100389227e-14,176,195
3.1622776601683796e-14,178,200
5.6234132519034906e-14,179,202
1e-13,179,206
1.7782794100389227e-13,180,208
3.162277660168379e-13,181,213
5.62341325190349e-13,183,217
1e-12,185,223
1.7782794100389228e-12,187,229
3.1622776601683794e-12,188,231
5.6234132519034904e-12,192,236
1e-11,194,246
1.7782794100389227e-11,196,255
3.1622776601683794e-11,198,263
5.6234132519034906e-11,200,275
1e-10,203,283
1.778279410038923e-10,204,294
3.1622776601683795e-10,208,307
5.623413251903491e-10,210,322
1e-09,210,332
1.7782794100389228e-09,210,342
3.1622776601683795e-09,211,352
5.623413251903491e-09,212,363
1e-08,212,379
1.7782794100389228e-08,212,388
3.162277660168379e-08,213,402
5.6234132519034905e-08,216,412
1e-07,216,424
1.7782794100389227e-07,216,439
3.162277660168379e-07,217,458
5.62341325190349e-07,218,475
1e-06,221,499
1.778279410038923e-06,222,524
3.162277660168379e-06,223,552
5.623413251903491e-06,223,583
1e-05,223,616
1.778279410038923e-05,225,650
3.1622776601683795e-05,227,674
5.623413251903491e-05,228,720
0.0001,230,768
0.00017782794100389227,231,833
0.00031622776601683794,231,901
0.0005623413251903491,232,977
0.001,232,1061
0.0017782794100389228,232,1161
0.0031622776601683794,233,1270
0.005623413251903491,233,1390
0.01,233,1546
0.01778279410038923,235,1728
0.03162277660168379,235,1962
0.05623413251903491,235,2274
0.1,235,2696
0.1778279410038923,235,3249
0.31622776601683794,235,4148
0.5623413251903491,235,5900
1.0,235,32296
